ComplaintID;CustomerID;ProductID;ComplaintDate;ComplaintType;SolutionType;FeedbackType
122689;4416;8;12/09/2007;1;;
190657;4416;8;14/12/2010;1;2;2
168808;6737;8;19/07/2010;9;1;
134499;6737;8;02/11/2009;1;2;3
118475;9366;8;02/07/2009;1;1;3
43373;9882;7;11/12/2007;1;1;3
43372;9882;7;12/12/2007;1;2;3
170829;11301;8;04/08/2010;1;1;
46334;11301;8;01/12/2007;1;1;
160020;19466;;11/05/2010;1;2;3
91312;19466;;28/01/2009;1;2;
143616;19466;;05/01/2010;1;2;3
143109;19466;;30/12/2009;1;1;3
149711;28271;8;16/02/2010;1;2;3
70520;28271;8;19/08/2008;1;2;3
72444;28271;8;30/08/2008;1;3;6
83470;30873;8;01/12/2008;1;2;3
116027;30916;8;10/06/2009;1;2;3
117769;30916;8;27/06/2009;1;3;3
54521;32244;8;08/03/2008;1;1;4
55834;34360;4;03/04/2008;1;1;
132031;34360;;13/10/2009;1;1;
132032;34360;;07/10/2009;2;3;
66945;34360;;14/07/2008;1;1;
68054;34360;;25/07/2008;1;1;
58898;37838;8;05/05/2008;1;1;3
166970;42801;8;07/07/2010;1;2;3
62055;43002;8;26/09/2005;6;;
57453;45521;8;21/04/2008;1;2;4
74525;45521;8;20/09/2008;1;1;6
166421;46163;8;02/07/2010;1;1;3
140114;46163;8;12/12/2009;1;1;3
106849;47128;8;02/03/2009;9;1;
44057;48566;8;19/12/2007;1;2;3
99547;55101;6;02/03/2009;9;1;
137790;56876;2;26/11/2009;1;2;6
58561;57533;8;30/04/2008;1;1;3
93197;59304;3;11/02/2009;1;1;
198006;59580;8;05/01/2011;1;2;2
145282;59580;8;15/01/2010;1;2;2
201500;59580;8;27/01/2011;1;2;6
132590;65149;8;17/10/2009;1;1;2
132587;65149;8;07/10/2009;1;1;3
84420;65149;8;09/12/2008;1;2;5
84419;65149;8;08/12/2008;1;1;3
115039;65658;8;02/06/2009;1;2;3
95218;65658;8;02/03/2009;1;1;4
66997;65658;8;15/07/2008;1;1;3
187490;66121;8;24/11/2010;1;2;6
191012;66121;8;16/12/2010;1;1;6
52276;66741;4;29/02/2008;1;1;
77620;66741;;11/10/2008;1;3;
