CreditID;SubscriptionID;ActionType;ProcessingDate;CreditSource;Amount;NbrNewspapers
244;100452;CC;03/01/2008;COM;1;0
344;1009046;EN;08/11/2010;COM;0.8783;1
516;1013786;EN;29/09/2010;COM;0.8783;1
597;1015086;EN;21/10/2009;COM;0.9474;1
598;1015086;EN;21/10/2009;COM;0.9474;1
599;1015086;EN;21/10/2009;COM;0.9474;1
600;1015086;EN;21/10/2009;COM;0.9474;1
601;1015086;EN;21/10/2009;COM;0.9474;1
602;1015086;EN;21/10/2009;COM;0.9474;1
755;1018295;EN;01/07/2009;COM;0.939;1
1006;1023383;EN;15/04/2009;COM;0.58;1
1141;1026660;EN;31/08/2010;COM;0.8783;1
1142;1026660;EN;31/08/2010;COM;0.8783;1
1143;1026660;EN;31/08/2010;COM;0.8783;1
1144;1026660;EN;07/10/2010;COM;0.8783;1
1145;1026660;EN;07/10/2010;COM;0.8783;1
1146;1026660;EN;07/10/2010;COM;0.8783;1
1147;1026660;EN;07/10/2010;COM;0.8783;1
1148;1026660;EN;07/10/2010;COM;0.8783;1
1149;1026660;EN;07/10/2010;COM;0.8783;1
1150;1026660;EN;07/10/2010;COM;0.8783;1
1151;1026660;EN;07/10/2010;COM;0.8783;1
1152;1026660;EN;07/10/2010;COM;0.8783;1
1153;1026660;EN;07/10/2010;COM;0.8783;1
1154;1026660;EN;27/12/2010;COM;0.8783;1
1155;1026660;EN;27/12/2010;COM;0.8783;1
1156;1026660;EN;27/12/2010;COM;0.8783;1
1202;1027591;EN;21/06/2010;COM;0.8783;1
1479;103148;CC;21/05/2008;SUB;150.7105;0
1481;103151;CC;29/06/2007;COM;1;0
1482;103151;CC;29/06/2007;COM;1.2;0
1759;1036464;EN;14/04/2009;COM;0.58;1
1839;1037091;EN;24/12/2010;COM;0.8783;1
2268;1044050;EN;29/10/2010;COM;0.8783;1
2676;104883;EN;15/01/2008;COM;0;1
3124;1054856;EN;01/10/2009;COM;1.0132;1
3125;1054856;EN;01/10/2009;COM;1.0132;1
3501;105880;CC;01/12/2007;COM;1;0
3502;105880;CC;01/12/2007;COM;1.2;0
3943;106269;CC;04/09/2007;COM;1;0
3944;106269;CC;04/09/2007;COM;1.2;0
4074;106398;CC;11/12/2006;COM;84.9;0
4075;106398;CC;19/12/2007;COM;19.33;0
4076;106398;CC;19/12/2007;COM;9.28;0
4077;106398;CC;19/12/2007;COM;1.2;0
4078;106398;CC;19/12/2007;COM;10.82;0
4079;106398;CC;19/12/2007;COM;5.41;0
4080;106398;CC;19/12/2007;COM;1;0
4081;106398;EN;08/10/2007;SUB;0;14
4451;106693;CC;22/02/2006;COM;42.7;0
4458;106703;CC;23/08/2007;COM;1;0
4459;106703;CC;23/08/2007;COM;1.2;0
4662;106884;CC;02/06/2008;COM;1;0
4663;106884;CC;02/06/2008;COM;1.2;0
4666;106887;CC;01/12/2007;COM;1;0
4667;106887;CC;01/12/2007;COM;1.2;0
4668;106889;CC;01/12/2007;COM;1;0
4669;106889;CC;01/12/2007;COM;1.2;0
4671;106891;CC;02/06/2008;COM;1;0
4672;106891;CC;02/06/2008;COM;1.2;0
4673;106892;CC;22/05/2006;COM;1.1;0
4674;106892;CC;22/05/2006;COM;1.2;0
5103;107201;CC;01/12/2007;COM;1.2;0
5104;107201;CC;01/12/2007;COM;1;0
7353;1098570;CC;16/06/2009;SUB;15;0
7900;1107533;EN;07/07/2009;COM;0.58;1
8283;1115963;EN;29/09/2009;COM;1.04;1
8284;1115963;EN;30/09/2009;COM;1.04;1
8665;112063;CC;23/08/2007;COM;1;0
8817;1122621;CC;04/11/2009;SUB;31.7642;0
9281;113236;CC;01/12/2007;COM;2.4;0
9418;1134672;EN;24/12/2009;COM;1.0132;1
10126;115135;CC;16/12/2008;COM;35.56;0
10336;1157184;PO;16/10/2009;SUB;72.9473;0
10447;1161725;CC;30/09/2009;SUB;40.8396;0
10564;1164861;EN;27/12/2010;COM;0.8783;1
10905;117444;CC;02/06/2008;COM;6.18;0
11042;1180984;EN;20/12/2010;COM;0.7542;1
11043;1180984;EN;20/12/2010;COM;0.7542;1
11203;118588;CC;19/03/2008;COM;1.2;0
11204;118588;CC;19/03/2008;COM;1;0
11511;1193991;EN;14/01/2011;COM;0.8783;1
11762;1201639;EN;07/06/2010;COM;0.852;1
12001;120721;CC;23/08/2007;COM;1;0
12002;120721;CC;23/08/2007;COM;1.2;0
12097;1212061;EN;29/12/2009;COM;1.04;1
12345;1215551;EN;18/05/2010;COM;1.0395;1
12346;1215551;EN;18/05/2010;COM;1.0395;1
12548;1218918;EN;25/11/2009;COM;0.595;1
12549;1218918;EN;25/11/2009;COM;0.595;1
12865;122197;CC;02/06/2008;COM;1;0
12866;122197;CC;02/06/2008;COM;1.2;0
12916;122260;CC;01/12/2007;COM;1;0
12917;122260;CC;01/12/2007;COM;1.2;0
13251;122651;CC;01/12/2007;COM;1;0
13252;122651;CC;01/12/2007;COM;1.2;0
13871;1233966;EN;02/02/2011;COM;0.9079;1
14160;123758;CC;01/12/2007;COM;1;0
14161;123758;CC;01/12/2007;COM;1.2;0
14637;1260770;EN;30/04/2010;COM;1.0395;1
14768;126390;CC;01/12/2007;COM;1;0
16140;129118;CC;01/12/2007;COM;1;0
16710;129872;CC;01/10/2007;COM;1;0
17398;130740;CC;03/03/2008;COM;1;0
17739;131837;CC;22/11/2006;COM;0.95;0
17740;131837;CC;22/11/2006;COM;0.75;0
17741;131837;CC;01/12/2007;COM;13.41;0
17814;132075;CC;23/05/2007;COM;5.27;0
17815;132075;CC;02/06/2008;COM;4.64;0
17816;132075;CC;02/06/2008;COM;1;0
17817;132075;CC;02/06/2008;COM;5.41;0
18326;133110;CC;03/03/2008;COM;1;0
18371;133165;CC;23/08/2007;COM;1;0
18607;133458;CC;01/12/2007;COM;1;0
19141;134062;CC;01/12/2007;COM;1;0
19142;134063;EN;22/09/2008;COM;0;1
19143;134064;CC;01/12/2007;COM;1;0
19186;134127;CC;14/01/2008;COM;1;0
19389;134496;CC;01/12/2007;COM;1;0
19390;134497;CC;19/08/2008;SUB;88.921;0
19391;134498;CC;01/12/2007;COM;1;0
19392;134500;CC;22/02/2007;COM;1.2;0
19393;134500;CC;03/03/2008;COM;1;0
19583;134824;CC;01/12/2007;COM;1;0
19617;134866;CC;01/12/2007;COM;1;0
19879;135543;CC;01/01/2008;COM;1;0
19880;135544;CC;23/12/2005;COM;0.9;0
20295;140797;CC;22/09/2006;COM;1.2;0
20342;140946;CC;01/12/2007;COM;1;0
20343;140948;CC;01/12/2007;COM;1;0
20433;141169;CC;07/01/2008;COM;1;0
20434;141171;CC;01/12/2007;COM;1;0
20538;141426;CC;03/03/2008;COM;1;0
20685;141795;CC;22/11/2006;COM;0.95;0
20686;141795;CC;01/12/2007;COM;1;0
20687;141797;CC;22/11/2006;COM;1.9;0
20688;141797;CC;01/12/2007;COM;1;0
20807;142391;EN;06/10/2008;COM;0.8191;1
21671;151871;CC;01/12/2007;COM;15.04;0
21672;151871;CC;01/12/2007;COM;1;0
21867;152499;EN;22/09/2008;COM;0.8191;1
21868;152499;EN;22/09/2008;COM;0.8191;1
21869;152499;EN;22/09/2008;COM;0.8191;1
22088;153943;CC;22/11/2006;COM;38.42;0
22089;153943;CC;01/12/2007;COM;39.42;0
22223;154695;CC;01/12/2007;COM;1.2;0
22224;154695;CC;01/12/2007;COM;1;0
22225;154695;CC;01/12/2007;COM;1.2;0
22931;155899;CC;26/12/2007;COM;1.2;0
22932;155899;CC;26/12/2007;COM;1;0
22933;155903;CC;01/12/2007;COM;1.2;0
22934;155903;CC;01/12/2007;COM;1;0
23032;156040;CC;22/05/2006;COM;1.1;0
23033;156042;CC;23/08/2007;COM;1;0
23034;156042;CC;23/08/2007;COM;1.2;0
23187;156230;CC;01/12/2007;COM;1.2;0
23188;156230;CC;01/12/2007;COM;1;0
23458;158090;EN;15/01/2008;COM;0;1
23515;158328;EN;15/01/2008;COM;0;1
23597;158606;CC;01/12/2007;COM;1;0
23598;158606;CC;01/12/2007;COM;1.2;0
23837;158923;CC;02/06/2008;COM;1.2;0
23838;158923;CC;02/06/2008;COM;1;0
24669;163935;CC;01/12/2007;COM;1.2;0
24670;163935;CC;01/12/2007;COM;1;0
24671;163935;EN;12/12/2007;COM;0.773;1
25094;166027;CC;15/01/2008;COM;1;0
25095;166030;CC;01/12/2007;COM;1;0
25224;166709;CC;01/12/2007;COM;1;0
25400;167089;CC;22/02/2006;COM;0.9;0
25401;167091;CC;23/08/2007;COM;1;0
25720;169047;CC;01/12/2007;COM;1;0
26063;171821;CC;02/06/2008;COM;1;0
26064;171821;CC;02/06/2008;COM;1.2;0
26222;172496;CC;01/12/2007;COM;3.87;0
27371;177049;CC;22/11/2006;COM;0.95;0
27372;177049;CC;01/12/2007;COM;1;0
27373;177051;CC;02/06/2008;COM;1;0
27374;177051;CC;02/06/2008;COM;1.2;0
27406;177171;CC;03/01/2008;COM;1;0
27407;177174;CC;23/08/2007;COM;1.2;0
27408;177174;CC;23/08/2007;COM;1;0
27441;177268;CC;01/07/2008;COM;1;0
27442;177268;CC;01/07/2008;COM;1.2;0
27541;177764;CC;30/08/2007;COM;1.8;0
27542;177764;CC;30/08/2007;COM;3.2;0
28565;181675;CC;01/12/2007;COM;1.2;0
28566;181675;CC;01/12/2007;COM;1;0
28567;181677;CC;17/11/2006;COM;6.03;0
28568;181677;CC;17/11/2006;COM;9.04;0
28569;181677;CC;17/11/2006;COM;10.55;0
28570;181677;CC;17/11/2006;COM;9.04;0
28573;181677;EN;08/10/2007;SUB;0;8
28759;182528;CC;23/08/2007;COM;1.2;0
28760;182528;CC;23/08/2007;COM;1;0
28873;182989;CC;31/12/2007;COM;1;0
28934;183212;CC;16/12/2005;COM;1.2;0
29375;184792;CC;29/06/2007;COM;1;0
29444;185047;CC;23/08/2007;COM;1.2;0
29445;185047;CC;23/08/2007;COM;1;0
29592;185643;CC;03/01/2008;COM;1;0
29593;185643;CC;03/01/2008;COM;1.2;0
29938;186988;CC;22/03/2006;COM;0.9;0
30634;189797;CC;29/06/2007;COM;1.2;0
30635;189797;CC;29/06/2007;COM;1;0
30636;189797;CC;29/06/2007;COM;3.58;0
30637;189799;CC;02/01/2007;COM;3.58;0
30638;189799;CC;02/01/2007;COM;6.26;0
30671;189898;CC;25/05/2007;COM;6.96;0
30824;190491;CC;31/07/2007;COM;1;0
31109;191587;CC;05/12/2006;COM;13.56;0
31110;191587;CC;05/12/2006;COM;9.79;0
31111;191587;CC;05/12/2006;COM;4.52;0
31112;191587;CC;17/12/2007;COM;11.6;0
31113;191587;CC;17/12/2007;COM;7.73;0
32040;194986;CC;31/08/2007;COM;1;0
32201;195842;EN;19/03/2009;COM;0;1
32215;195895;EN;24/12/2007;COM;0.8355;1
32216;195895;EN;24/12/2007;COM;0.8355;1
32680;197429;CC;05/12/2006;COM;4.52;0
32681;197429;CC;05/12/2006;COM;8.29;0
32682;197429;CC;25/03/2008;COM;1.2;0
32683;197429;CC;25/03/2008;COM;41.74;0
32684;197429;CC;25/03/2008;COM;1;0
32685;197429;EN;16/10/2007;COM;0.7121;1
32870;198215;EN;25/03/2008;COM;0;1
32871;198219;CC;13/02/2008;COM;6.96;0
32872;198219;CC;13/02/2008;COM;1.2;0
32873;198219;CC;13/02/2008;COM;1;0
33228;199500;CC;12/09/2007;COM;1;0
33819;201555;CC;01/08/2007;COM;1.2;0
33820;201555;CC;01/08/2007;COM;1;0
34447;203955;CC;01/07/2008;COM;1;0
34448;203955;CC;01/07/2008;COM;1.2;0
34449;203956;CC;22/06/2006;COM;2.15;0
34450;203956;CC;22/06/2006;COM;3.1;0
34650;204691;CC;23/06/2008;COM;1;0
34651;204691;CC;23/06/2008;COM;1.2;0
34786;205112;CC;23/08/2007;COM;1;0
34875;205534;CC;08/08/2007;COM;1;0
34952;205838;EN;16/05/2008;COM;0.8191;1
35507;208203;CC;09/06/2006;COM;5.66;0
35815;209318;CC;30/04/2009;SUB;44.2303;0
36111;210419;EN;21/02/2008;COM;0.773;1
36249;210812;CC;11/07/2008;COM;1;0
36250;210812;CC;11/07/2008;COM;1.2;0
36251;210813;CC;02/06/2006;COM;1.2;0
36443;211546;CC;23/07/2007;COM;1.2;0
36444;211546;CC;23/07/2007;COM;1;0
37147;214350;EN;19/03/2009;COM;0;1
37148;214351;CC;23/04/2007;COM;1;0
37149;214351;CC;23/04/2007;COM;1;0
37150;214351;CC;23/04/2007;COM;1;0
37151;214351;CC;05/05/2008;COM;1;0
37152;214352;CC;03/06/2006;COM;1;0
37153;214352;CC;03/06/2006;COM;1;0
37154;214352;CC;03/06/2006;COM;1;0
37155;214352;CC;03/06/2006;COM;1;0
37404;215218;CC;19/05/2008;COM;1.2;0
37405;215218;CC;19/05/2008;COM;1;0
37407;215232;EN;15/01/2008;COM;0;1
37501;215550;EN;16/02/2009;COM;0.8151;1
37893;216914;CC;21/11/2007;COM;15.46;0
38074;217550;CC;01/12/2007;COM;1.2;0
38075;217550;CC;01/12/2007;COM;1;0
38076;217552;CC;10/02/2007;COM;221.08;0
38143;217706;CC;31/07/2007;COM;1;0
38144;217706;CC;31/07/2007;COM;1.2;0
38151;217726;EN;15/01/2008;COM;0;1
38451;218758;CC;24/10/2007;COM;1;0
38452;218758;CC;24/10/2007;COM;1.2;0
38569;219137;CC;08/05/2008;COM;1;0
38570;219137;CC;08/05/2008;COM;1.2;0
39337;221861;CC;08/05/2008;COM;9.28;0
39673;222989;CC;23/12/2005;COM;0.9;0
39990;224319;CC;01/12/2006;COM;1.2;0
39991;224319;CC;11/12/2007;COM;1;0
39992;224319;CC;11/12/2007;COM;1;0
39993;224319;EN;26/12/2007;COM;0.7691;1
39994;224320;CC;02/12/2005;COM;5.07;0
40460;226251;CC;23/08/2007;COM;1;0
40461;226251;CC;23/08/2007;COM;1.2;0
40725;227173;CC;01/12/2007;COM;1.2;0
40726;227173;CC;01/12/2007;COM;1;0
40968;228274;CC;23/12/2005;COM;10.13;0
41118;228802;EN;04/03/2009;COM;0.8191;1
41119;228802;EN;09/03/2009;COM;0.8191;1
41204;229073;CC;05/02/2007;COM;3.01;0
41392;229822;CC;06/02/2006;COM;0.66;0
41412;229893;CC;12/09/2007;COM;10.74;0
41413;229893;CC;12/09/2007;COM;10.74;0
42316;233062;EN;05/02/2008;COM;0.8005;1
42575;234058;CC;13/11/2006;COM;4.28;0
42576;234060;CC;23/08/2007;COM;1;0
42577;234060;CC;23/08/2007;COM;1.2;0
43055;235711;CC;24/11/2006;COM;2.15;0
43242;236271;CC;01/10/2007;COM;1;0
43243;236271;CC;01/10/2007;COM;1.2;0
43527;237323;CC;13/11/2007;COM;6.96;0
43528;237323;CC;13/11/2007;COM;1;0
43529;237323;CC;13/11/2007;COM;1.2;0
43530;237323;CC;13/11/2007;COM;4.64;0
43531;237323;CC;13/11/2007;COM;4.52;0
43532;237323;CC;13/11/2007;COM;5.41;0
43533;237323;CC;13/11/2007;COM;3.87;0
43534;237324;EN;22/05/2008;COM;0.6803;1
43535;237324;EN;22/05/2008;COM;0.6803;1
43536;237324;EN;22/05/2008;COM;0.6803;1
43537;237324;EN;23/05/2008;COM;0.6803;1
44180;239325;CC;20/12/2007;COM;1;0
44410;240091;CC;04/12/2007;COM;14.2;0
44411;240091;CC;04/12/2007;COM;2.51;0
44412;240091;EN;24/10/2007;COM;0.8301;1
44509;240469;CC;16/11/2007;COM;1;0
44510;240469;CC;16/11/2007;COM;1.2;0
44511;240471;CC;20/08/2007;COM;4.2;0
44767;241627;CC;02/01/2008;COM;1;0
44768;241627;CC;02/01/2008;COM;1.2;0
44982;242494;CC;13/08/2007;COM;1;0
45110;243046;CC;10/11/2007;COM;5.85;0
45111;243047;CC;14/12/2006;COM;5.07;0
45459;244105;CC;06/12/2007;COM;1;0
45521;244455;EN;17/10/2008;COM;0.8191;1
45644;244943;CC;10/03/2006;COM;0.9;0
46733;249025;CC;10/08/2007;COM;1.2;0
46734;249025;CC;10/08/2007;COM;1;0
46735;249025;CC;19/11/2007;COM;5.37;0
46736;249026;CC;09/05/2007;COM;5.37;0
46807;249330;CC;13/11/2007;COM;1;0
46808;249330;CC;13/11/2007;COM;1.2;0
46809;249330;EN;24/09/2007;COM;0.8247;1
46902;249794;EN;19/03/2009;COM;0;1
46903;249795;CC;24/08/2007;COM;1;0
47382;251444;CC;29/08/2007;COM;1.2;0
47383;251444;CC;29/08/2007;COM;1;0
47388;251459;CC;03/10/2007;COM;1;0
47490;251835;EN;15/01/2008;COM;0;1
48618;256174;CC;05/05/2008;COM;1.2;0
48619;256174;CC;05/05/2008;COM;1;0
48834;256899;CC;05/01/2007;COM;1.2;0
48916;257228;CC;24/07/2007;COM;1;0
49030;257694;CC;12/12/2006;COM;24;0
49170;258226;CC;06/12/2007;COM;1.2;0
49186;258322;EN;22/09/2008;COM;0.9079;1
49187;258322;EN;22/09/2008;COM;0.9079;1
50249;262642;CC;05/07/2006;COM;173.6;0
50502;264173;CC;23/08/2007;COM;1.2;0
50503;264173;CC;23/08/2007;COM;1;0
50504;264174;CC;29/09/2006;COM;226.74;0
50830;265397;CC;17/08/2007;COM;1.2;0
50831;265397;CC;17/08/2007;COM;1;0
51260;267767;CC;04/09/2007;COM;1.2;0
51261;267767;CC;04/09/2007;COM;1;0
51725;270095;CC;29/05/2008;COM;1;0
51726;270095;CC;29/05/2008;COM;1.2;0
51727;270095;CC;29/05/2008;COM;6.96;0
52068;276791;EN;30/10/2007;COM;0.773;1
52073;276822;PO;07/01/2008;SUB;45.8491;0
52114;277652;CC;18/11/2007;SUB;41.25;0
52442;286068;CC;28/05/2009;SUB;30.566;0
52477;287049;EN;19/03/2009;COM;0;1
